Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
0.583333333,CNR7153255142,Canceled by Driver,CID713523,Prime Sedan,Tumkur Road,RT Nagar,,,,Personal & Car related issue,,,444,,0,,,
0.930555556,CNR2940424040,Success,CID225428,Bike,Magadi Road,Varthur,203,30,,,No,,158,Cash,13,4.1,4,
0.832638889,CNR2982357879,Success,CID270156,Prime SUV,Sahakar Nagar,Varthur,238,130,,,No,,386,UPI,40,4.2,4.8,
0.135416667,CNR2395710036,Canceled by Customer,CID581320,eBike,HSR Layout,Vijayanagar,,,Driver is not moving towards pickup location,,,,384,,0,,,
0.376388889,CNR1797421769,Success,CID939555,Mini,Rajajinagar,Chamarajpet,252,80,,,No,,822,Credit Card,45,4,3,
0.195833333,CNR8787177882,Success,CID802429,Mini,Kadugodi,Vijayanagar,231,90,,,No,,173,UPI,41,3.4,4.6,
0.410416667,CNR3612067560,Success,CID476071,Bike,Tumkur Road,Whitefield,133,40,,,No,,140,Cash,49,3.2,4.5,
0.466666667,CNR5374902489,Canceled by Driver,CID735691,Prime Plus,Bannerghatta Road,Sarjapur Road,,,,Personal & Car related issue,,,344,,0,,,
0.804861111,CNR5030602354,Driver Not Found,CID999840,Mini,Chamarajpet,Peenya,,,,,,,839,,0,,,
0.063194444,CNR6328453219,Canceled by Driver,CID907133,Auto,RT Nagar,Varthur,,,,Personal & Car related issue,,,893,,0,,,
0.98125,CNR4787583516,Success,CID923404,Prime Plus,Hosur Road,Jayanagar,35,55,,,No,,164,Cash,46,4.5,3.4,
0.16875,CNR7943634301,Success,CID647026,Prime Plus,Kammanahalli,Rajajinagar,238,95,,,No,,399,Cash,18,3.9,4.4,
0.554166667,CNR4524472111,Success,CID540929,Auto,Cox Town,Yelahanka,126,35,,,No,,330,UPI,8,3,4.8,
0.788194444,CNR3914552212,Canceled by Driver,CID557845,Auto,Hosur Road,Banashankari,,,,Personal & Car related issue,,,427,,0,,,
0.4125,CNR8181602032,Success,CID167642,Bike,Indiranagar,MG Road,70,95,,,No,,378,UPI,18,4.8,4.1,
0.434027778,CNR8090918544,Success,CID640151,Bike,Magadi Road,HSR Layout,126,95,,,No,,343,UPI,23,3.7,3.6,
0.993055556,CNR3211335290,Driver Not Found,CID630354,Mini,Ramamurthy Nagar,BTM Layout,,,,,,,366,,0,,,
0.9875,CNR3196156650,Success,CID243275,Bike,Electronic City,Langford Town,140,40,,,No,,401,Cash,8,3.3,3.9,
0.465972222,CNR9975925287,Success,CID162055,Prime SUV,Magadi Road,RT Nagar,42,30,,,No,,343,UPI,17,3,3.8,
0.613888889,CNR1591113431,Success,CID902781,eBike,Koramangala,Sarjapur Road,245,70,,,No,,2014,Cash,33,4.2,4.9,
0.8625,CNR3650331573,Success,CID217093,eBike,Basavanagudi,Hulimavu,84,25,,,No,,650,Cash,34,4.9,3.4,
0.939583333,CNR6013805089,Success,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,168,65,,,No,,231,Cash,2,3.2,3.7,
0.428472222,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,Mysore Road,Vijayanagar,,,,Customer was coughing/sick,,,909,,0,,,
0.763888889,CNR9832070187,Success,CID655872,Bike,Koramangala,BTM Layout,231,145,,,No,,189,Cash,6,4.9,3.3,
0.886805556,CNR5620539253,Success,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,56,105,,,No,,311,Cash,28,4.3,3,
0.8875,CNR4443921904,Success,CID654618,Mini,Tumkur Road,Koramangala,231,50,,,No,,286,UPI,44,4,3.3,
0.155555556,CNR7194303296,Success,CID538245,Mini,Mysore Road,Hennur,175,50,,,No,,141,UPI,35,4.7,3.1,
0.715972222,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,84,60,,,No,,214,UPI,2,3.3,4.5,
0.822222222,CNR6805579107,Success,CID810214,Prime SUV,Indiranagar,Indiranagar,35,145,,,No,,2183,Cash,20,4,4.4,
0.351388889,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Rajajinagar,Chamarajpet,,,Driver asked to cancel,,,,604,,0,,,
0.294444444,CNR2998177390,Driver Not Found,CID946041,Auto,RT Nagar,Yelahanka,,,,,,,802,,0,,,
0.2625,CNR7979458138,Success,CID978509,eBike,Frazer Town,Indiranagar,189,65,,,No,,1095,Cash,38,4.8,4.7,
0.538888889,CNR9820692957,Success,CID625327,Prime Sedan,Koramangala,Hosur Road,49,85,,,No,,241,Cash,33,3.2,3.5,
0.494444444,CNR4094067439,Success,CID896062,Prime Sedan,Majestic,Jayanagar,77,140,,,No,,475,Cash,45,4.3,3.1,
0.225694444,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,JP Nagar,210,45,,,No,,461,UPI,49,4.5,3.1,
0.397916667,CNR5488574120,Canceled by Driver,CID169284,Auto,Peenya,Hosur Road,,,,Customer related issue,,,783,,0,,,
0.677777778,CNR8148468821,Canceled by Driver,CID347094,Prime Plus,Marathahalli,BTM Layout,,,,Customer was coughing/sick,,,995,,0,,,
0.040277778,CNR5176704322,Success,CID296026,Prime Plus,KR Puram,Hennur,287,40,,,Yes,Customer Demand,1102,UPI,41,3.1,3.5,
0.729861111,CNR9287248724,Canceled by Driver,CID959554,Prime SUV,Hosur Road,Yeshwanthpur,,,,Customer related issue,,,170,,0,,,
0.913888889,CNR7547352327,Success,CID976231,Prime Plus,Hulimavu,Rajarajeshwari Nagar,210,105,,,No,,444,UPI,6,3.8,4.9,
0.645833333,CNR9660405769,Canceled by Driver,CID483311,eBike,Electronic City,Varthur,,,,Customer related issue,,,1130,,0,,,
0.140277778,CNR4251304471,Success,CID888740,Prime SUV,Shivajinagar,Jayanagar,294,145,,,No,,876,Cash,21,4.7,3.3,
0.626388889,CNR1568684278,Success,CID709612,Prime Plus,Bannerghatta Road,Majestic,42,90,,,No,,680,UPI,24,4.7,3.8,
0.852777778,CNR2230045814,Success,CID961125,Prime SUV,Cox Town,Chamarajpet,266,65,,,No,,425,Cash,11,3.5,4.6,
0.477777778,CNR7871058089,Success,CID221021,Mini,Hennur,Kengeri,56,140,,,No,,989,Cash,4,4.5,4.2,
0.684027778,CNR5503358927,Driver Not Found,CID552049,Bike,Peenya,MG Road,,,,,,,594,,0,,,
0.751388889,CNR2708187615,Success,CID415325,Prime Plus,Devanahalli,Rajajinagar,294,95,,,No,,443,Cash,5,3.4,3.1,
0.940972222,CNR1625119636,Success,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,35,95,,,No,,721,Cash,19,3.8,4.7,
0.555555556,CNR9312632867,Success,CID649563,Prime SUV,Tumkur Road,Mysore Road,217,120,,,Yes,Vehicle Breakdown,2936,Cash,34,4.1,4.6,
0.147916667,CNR5274603340,Success,CID477783,Prime SUV,Electronic City,Banashankari,77,35,,,No,,747,Cash,25,5,3.5,
0.145833333,CNR1050003752,Success,CID993137,Bike,Chamarajpet,Shivajinagar,308,110,,,No,,799,UPI,25,3.9,4.7,
0.249305556,CNR3603517873,Success,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,63,135,,,No,,300,Cash,14,3.3,4.6,
